"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000360266","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000360266",,,"0.9","0.772",,,"0.998","0.958"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000264657","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000264657","0.06",,,"0.926",,,"0.996","0.951"
"pp","9606.ENSP00000216181 (pp) 9606.ENSP00000379616","false","pp","9606.ENSP00000216181 (pp) 9606.ENSP00000379616","0.06","0.051","0.9",,,,"0.937","0.383"
"pp","9606.ENSP00000219476 (pp) 9606.ENSP00000379287","false","pp","9606.ENSP00000219476 (pp) 9606.ENSP00000379287","0.049",,"0.5","0.841",,,"0.952","0.449"
"pp","9606.ENSP00000219476 (pp) 9606.ENSP00000369757","false","pp","9606.ENSP00000219476 (pp) 9606.ENSP00000369757","0.067",,,,,,"0.908","0.906"
"pp","9606.ENSP00000219476 (pp) 9606.ENSP00000298552","false","pp","9606.ENSP00000219476 (pp) 9606.ENSP00000298552","0.155",,"0.9","0.998",,,"0.999","0.999"
"pp","9606.ENSP00000219476 (pp) 9606.ENSP00000346148","false","pp","9606.ENSP00000219476 (pp) 9606.ENSP00000346148","0.06",,"0.9","0.631",,,"0.978","0.456"
"pp","9606.ENSP00000219476 (pp) 9606.ENSP00000296782","false","pp","9606.ENSP00000219476 (pp) 9606.ENSP00000296782","0.049",,,"0.115",,,"0.908","0.901"
"pp","9606.ENSP00000219476 (pp) 9606.ENSP00000435412","false","pp","9606.ENSP00000219476 (pp) 9606.ENSP00000435412","0.05",,"0.9","0.523",,,"0.988","0.776"
"pp","9606.ENSP00000219476 (pp) 9606.ENSP00000354558","false","pp","9606.ENSP00000219476 (pp) 9606.ENSP00000354558","0.149",,"0.5","0.458",,,"0.99","0.962"
